Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
JosÃ© Mirazar,35,154.94,73.9,"LW,CAM",Brazil,75,75,3400000,29000
Luiz Felipe,21,187.96,79.8,CB,Brazil,75,84,9000000,26000
K. Amian,21,154.94,78,"RB,CB,RWB",France,75,83,8500000,17000
H. Villalba,24,172.72,74.8,"RM,ST",Paraguay,75,79,8500000,8000
A. Maier,20,182.88,78.9,"CM,CDM",Germany,75,87,11500000,12000
E. Audero,22,190.5,79.8,GK,Italy,75,87,9500000,15000
L. Vangioni,31,152.4,68,LB,Argentina,75,75,4400000,37000
P. Ntep,26,154.94,74.8,"LM,LW,ST",Cameroon,75,76,8000000,36000
D. Torres,29,182.88,81.2,"CDM,CM",Colombia,75,75,5500000,21000
A. Grassi,24,182.88,74.8,CM,Italy,75,83,9500000,43000
D. CharÃ¡,32,172.72,68,"CDM,CM",Colombia,75,75,3800000,8000
M. Destro,27,152.4,72.1,ST,Italy,75,75,7000000,32000
B. Feilhaber,34,175.26,73.9,CM,United States,75,75,3900000,9000
Gabrisco AnÃ­bal,27,182.88,77.1,"CDM,CM",Brazil,75,75,6000000,19000
P. Tschauner,33,195.58,93,GK,Germany,75,75,3800000,22000
L. Schaub,24,152.4,69.9,"CAM,RM",Austria,75,80,9000000,18000
T. Jantschke,28,152.4,76.2,"RB,CB",Germany,75,75,5500000,24000
B. Poulain,31,187.96,83,CB,France,75,75,4900000,19000
V. HernÃ¡ndez,30,160.02,68,"LM,CAM",Colombia,75,75,6500000,6000
S. RajkoviÄ‡,30,190.5,88,CB,Serbia,75,75,5000000,5000
W. Caballero,37,185.42,81.2,GK,Argentina,75,75,900000,37000
Jordi Amat,26,185.42,83,"CB,CDM",Spain,75,79,7000000,17000
F. RÃ¸nnow,26,190.5,77.1,GK,Denmark,75,80,6500000,21000
Portillo,28,170.18,59.9,RM,Spain,75,75,6500000,22000
M. Silvestre,34,185.42,83.9,CB,Italy,75,75,2700000,13000
V. CÃ¡ceres,33,185.42,82.1,"CDM,CM",Paraguay,75,75,,
M. Risse,29,182.88,74.8,"RM,RB",Germany,75,75,6500000,21000
N. SÃ¡nchez,33,187.96,82.1,CB,Argentina,75,75,3800000,37000
F. Frei,30,182.88,79.8,"CDM,CB,CM",Switzerland,75,75,5000000,24000
M. Flamini,35,152.4,67.1,CDM,France,75,75,2000000,20000
Rafael,37,187.96,79.8,GK,Brazil,75,75,900000,14000
C. Kerbrat,32,185.42,73.9,CB,France,75,75,4500000,20000
G. Imbula,26,185.42,77.1,"CM,CDM",France,75,78,8000000,38000
G. Haraguchi,27,152.4,68,"LM,RM",Japan,75,75,7000000,30000
E. Durm,26,182.88,72.1,"RWB,LWB,LB,RB",Germany,75,77,6500000,38000
D. PabÃ³n,31,167.64,73,"LW,RW,RM",Colombia,75,75,6500000,44000
M. RodrÃ­guez,38,154.94,78.9,"LM,CAM,ST",Argentina,75,75,2200000,14000
D. Bronn,23,182.88,74.8,"CB,RB",Tunisia,75,82,8000000,16000
Silas Almeim,27,152.4,76.2,"LB,LM",Brazil,75,75,5500000,13000
E. Cabaco,23,185.42,74.8,CB,Uruguay,75,81,8000000,17000
Ivan Cavaleiro,25,175.26,79.8,"LW,RW",Portugal,75,78,8500000,54000
K. Billiat,28,170.18,59.9,"RW,ST",Zimbabwe,75,75,7000000,1000
S. Armstrong,26,182.88,74.8,"CAM,CDM,CM",Scotland,75,77,8000000,42000
N. AraÃºjo,27,187.96,87.1,CB,Mexico,75,78,7000000,20000
T. Arslan,28,154.94,77.1,"CDM,CM",Germany,75,76,6500000,48000
I. TraorÃ©,32,182.88,87.1,CB,Ivory Coast,75,75,4500000,20000
O. Åžahiner,27,175.26,69.9,"RM,LM,LB",Turkey,75,75,7000000,18000
G. Ferrari,26,187.96,82.1,CB,Italy,75,79,7000000,40000
F. Hanin,29,152.4,64.9,LB,France,75,75,5500000,10000
A. Ademi,27,185.42,78.9,"CDM,CM",FYR Macedonia,75,76,6500000,1000
J. Hendrick,27,182.88,83.9,"CAM,CM",Republic of Ireland,75,76,8000000,46000
J. HernÃ¡ndez,29,170.18,78,"CDM,CM",Mexico,75,75,5000000,26000
Danilo,23,182.88,76.2,"CM,CDM",Brazil,75,82,9000000,25000
SaÃºl BerjÃ³n,32,152.4,84.8,"LM,RM,LW",Spain,75,75,5000000,12000
D. Bonera,37,182.88,83.9,"CB,RB,LB",Italy,75,75,900000,18000
Alfa Semedo,21,187.96,82.1,"CDM,CM,CB",Guinea Bissau,75,84,9000000,8000
Z. Steffen,23,190.5,86.2,GK,United States,75,84,8000000,5000
FransÃ©rgio,28,187.96,82.1,"CM,CDM",Brazil,75,75,7000000,14000
T. KÃ¡dÃ¡r,28,187.96,78.9,"CB,LB",Hungary,75,76,6000000,1000
J. Furch,29,187.96,88,ST,Argentina,75,75,7000000,23000
M. Rog,23,154.94,73,CM,Croatia,75,81,9000000,43000
L. Balogun,30,190.5,88,"CB,RB",Nigeria,75,75,4900000,38000
LuÃ­s HernÃ¡ndez,29,182.88,74.8,CB,Spain,75,76,6000000,10000
SimÃ£o Donatinho,35,187.96,82.1,GK,Brazil,75,75,2700000,20000
T. Bongonda,23,175.26,64,"LM,RM",Belgium,75,81,9000000,14000
F. GutiÃ©rrez,28,170.18,64,"CM,CAM,CDM",Chile,75,75,7000000,9000
L. KonÃ©,30,187.96,89.8,CB,Ivory Coast,75,75,5000000,14000
A. Morelos,22,152.4,78.9,ST,Colombia,75,85,11000000,44000
M. NinkoviÄ‡,34,154.94,76.2,"CAM,LM",Serbia,75,75,4000000,10000
Y. Lodygin,28,187.96,82.1,GK,Russia,75,77,5500000,1000
R. PetroviÄ‡,30,193.04,78,CDM,Serbia,75,75,5000000,12000
Palhinha,23,190.5,82.1,"CDM,CM",Portugal,75,82,8000000,10000
Y. Gazinskiy,29,182.88,74.8,"CDM,CM",Russia,75,75,,
L. Refaelov,32,175.26,68,"CAM,CM,RW",Israel,75,75,5000000,13000
Alan Patrick,27,152.4,69.9,"CAM,CDM",Brazil,75,75,7000000,1000
AlcalÃ¡,29,195.58,93,CB,Spain,75,75,5000000,26000
S. Ghoddos,25,152.4,78.9,"ST,LM",Iran,75,80,9000000,18000
D. Tarasov,31,193.04,83.9,CDM,Russia,75,75,4500000,1000
Rolando,33,187.96,77.1,CB,Portugal,75,75,3800000,35000
A. Masuaku,25,152.4,69.9,"LB,LWB",DR Congo,75,78,7000000,49000
M. Braithwaite,27,152.4,73,"ST,LW,CAM",Denmark,75,76,8000000,53000
R. Otero,26,170.18,62.1,"LM,CAM,LW",Venezuela,75,76,8000000,23000
Fran Sol,26,154.94,77.1,ST,Spain,75,76,8000000,1000
Fabrio Farinha,27,152.4,72.1,"CAM,LM",Brazil,75,75,7000000,31000
S. van Beek,24,187.96,76.2,CB,Netherlands,75,78,7000000,11000
M. Stoch,29,167.64,66.2,"LM,RM,CAM",Slovakia,75,75,6500000,1000
Lucas Evangelista,23,154.94,76.2,"CM,CAM,RM",Brazil,75,79,8500000,21000
J. Stanislas,29,182.88,76.2,"RM,LM",England,75,75,6500000,55000
M. Zajc,24,152.4,76.2,"CAM,CM",Slovenia,75,82,9500000,46000
L. Lerager,25,185.42,84.8,"CM,CDM",Denmark,75,78,8500000,31000
Luiz Phellype,25,187.96,83,ST,Brazil,75,77,8500000,12000
David JuncÃ ,25,175.26,67.1,LB,Spain,75,80,7500000,17000
AdriÃ¡n,31,182.88,73,"ST,LM",Spain,76,76,7500000,15000
R. RuidÃ­az,28,170.18,66.2,ST,Peru,76,76,8000000,10000
H. Tekin,29,187.96,78,GK,Turkey,76,77,6000000,44000
T. SouÄek,24,193.04,86.2,CDM,Czech Republic,76,84,10000000,1000
A. Wan-Bissaka,21,182.88,72.1,RB,England,76,84,9500000,32000
A. Gomis,25,193.04,79.8,GK,Senegal,76,79,7000000,9000
A. RusnÃ¡k,24,175.26,73,"CAM,CM",Slovakia,76,80,10000000,8000
C. Dawson,28,187.96,82.1,"CB,RB",England,76,76,6000000,32000
A. Danjuma Groeneveld,22,152.4,78,"LM,RM,ST",Netherlands,76,85,12000000,17000
Davi Parrela,31,190.5,88,"CB,CDM",Brazil,76,76,5500000,16000
M. Simon,23,167.64,68.9,"LM,CF",Nigeria,76,82,10500000,20000
T. Kraft,30,187.96,78,GK,Germany,76,76,5000000,21000
D. Yedlin,25,172.72,74.8,"RB,RWB",United States,76,81,8500000,34000
Jonathas,30,190.5,81.2,ST,Brazil,76,76,7500000,36000
N. Domingo,33,175.26,69.9,"CDM,CM,CB",Argentina,76,76,3100000,19000
E. InsÃºa,30,154.94,78.9,"LB,LWB",Argentina,76,76,6000000,31000
A. Lunin,20,190.5,79.8,GK,Ukraine,76,88,10500000,24000
Jemerson,26,182.88,77.1,CB,Brazil,76,78,8000000,48000
M. Bradley,31,187.96,78.9,"CDM,CM",United States,76,76,5500000,8000
RubÃ©n Sobrino,26,185.42,73,"ST,RM",Spain,76,78,9500000,34000
B. Mechele,26,190.5,79.8,CB,Belgium,76,80,8500000,19000
X. Schlager,21,175.26,73,"CM,CAM,CDM",Austria,76,84,11500000,25000
J. Aholou,24,187.96,73.9,"CDM,CM",Ivory Coast,76,83,9500000,44000
O. Colley,26,190.5,87.1,CB,Gambia,76,81,8500000,28000
N. El Zhar,32,170.18,66.2,RM,Morocco,76,76,7000000,28000
O. Trejo,30,154.94,78.9,"CM,CAM",Argentina,76,76,7000000,20000
Gelson Fernandes,32,152.4,69.9,"CDM,CM",Switzerland,76,76,5000000,29000
J. Orozco,32,182.88,81.2,GK,Mexico,76,76,4400000,16000
D. Praet,24,154.94,78,"CM,CAM",Belgium,76,81,10000000,28000
Victildinho,35,152.4,74.8,"RB,RM",Brazil,76,76,2200000,13000
B. Henrichs,22,182.88,78.9,"RB,LB,RM",Germany,76,84,9500000,36000
F. Belluschi,35,172.72,78,"CAM,CM,CF,CDM",Argentina,76,76,3900000,21000
C. Cathcart,30,190.5,83,"CB,RB",Northern Ireland,76,76,6000000,46000
M. HÃ¶ger,29,182.88,83,"CDM,CM",Germany,76,76,6000000,20000
LÃ©o Matos,32,182.88,81.2,"RB,LB,RM",Brazil,76,76,4300000,1000
Renan Ribeiro,28,193.04,87.1,GK,Brazil,76,77,6000000,11000
J. Andersen,22,190.5,89.8,CB,Denmark,76,84,10000000,26000
M. Topal,33,187.96,82.1,"CDM,CB",Turkey,76,76,4400000,51000
C. Nkunku,21,152.4,72.1,"CM,LW,RW",France,76,84,11500000,46000
T. Gebre Selassie,32,154.94,71.2,"RB,RM",Czech Republic,76,76,5000000,24000
M. Arambarri,23,175.26,76.2,"CDM,CM",Uruguay,76,81,8500000,18000
A. Hegazi,28,193.04,94.8,CB,Egypt,76,78,7500000,31000
M. Pjaca,23,185.42,83,LW,Croatia,76,83,11000000,75000
J. Brekalo,20,175.26,69.9,"LW,RM,LM,RW",Croatia,76,84,11500000,33000
P. Hetemaj,32,175.26,76.2,"CM,LM",Finland,76,76,6500000,17000
N. Sliti,26,172.72,76.2,"LW,CAM",Tunisia,76,77,9000000,16000
F. Montero,31,175.26,66.2,ST,Colombia,76,76,7500000,10000
R. Holding,23,187.96,74.8,CB,England,76,83,9500000,64000
J. McArthur,31,152.4,66.2,"CM,RM,LM",Scotland,76,76,7000000,48000
O. Duda,24,154.94,73.9,"CAM,CM",Slovakia,76,82,10500000,23000
D. Moreno,33,152.4,78.9,ST,Colombia,76,76,6000000,19000
M. FabiÃ¡n,29,170.18,64.9,"CAM,RM,CF",Mexico,76,76,8000000,10000
L. Christodoulopoulos,32,182.88,81.2,"LM,RM",Greece,76,76,7000000,1000
R. Morrison,26,175.26,71.2,"CAM,CM",England,76,79,9500000,7000
J. Gnagnon,22,182.88,88.9,CB,France,76,83,9500000,11000
Andeson Trigo,31,175.26,68,"LB,LM,CAM",Brazil,76,76,5500000,25000
P. Zabaleta,34,152.4,73.9,RB,Argentina,76,76,3000000,60000
F. Neuhaus,21,182.88,73.9,CM,Germany,76,85,12000000,20000
L. Blas,21,154.94,73,"CM,CDM,RM",France,76,86,12500000,17000
G. Cano,31,175.26,72.1,"ST,CAM",Argentina,76,76,7500000,5000
I. Brizuela,28,170.18,66.2,"RM,LW",Mexico,76,76,8000000,36000
S. Gigot,25,187.96,83,CB,France,76,81,8500000,1000
P. GuiÃ±azÃº,40,175.26,68,"CDM,CM",Argentina,76,76,525000,11000
Jaume,28,185.42,73,GK,Spain,76,77,6000000,23000
S. Denswil,25,185.42,81.2,CB,Netherlands,76,80,8500000,19000
K. Tierney,21,152.4,78,"LB,LWB,LM",Scotland,76,86,11000000,32000
Aday BenÃ­tez,31,152.4,74.8,"LWB,RWB",Spain,76,76,5500000,26000
A. Hunt,32,182.88,73,"CAM,RM,CM",Germany,76,76,7000000,16000
R. Durmisi,25,167.64,67.1,"LB,LWB",Denmark,76,81,8500000,33000
B. Sarr,27,152.4,64.9,"RB,RM",France,76,77,7500000,37000
M. Antenucci,34,152.4,76.2,"ST,CF",Italy,76,76,4800000,17000
J. Forrest,27,175.26,77.1,"RM,RWB",Scotland,76,76,8500000,48000
D. Pelkas,25,152.4,73,"CAM,RM,LM,CM",Greece,76,79,10000000,1000
J. Grealish,23,175.26,68,"CAM,CM",England,76,84,11500000,18000
Camarasa,24,182.88,76.2,"CM,RM,CAM",Spain,76,82,10500000,20000
Y. Mvogo,24,190.5,89.8,GK,Switzerland,76,81,7500000,27000
Y. Kobayashi,31,152.4,72.1,"ST,RM,CAM",Japan,76,76,7500000,12000
M. Diakhaby,22,193.04,78,CB,France,76,82,9000000,20000
C. KouyatÃ©,29,187.96,83,"CDM,CM",Senegal,76,76,6000000,46000
Alex Berenguer,23,175.26,73,"LM,LWB",Spain,76,81,10500000,34000
W. Morgan,35,185.42,101.2,CB,Jamaica,76,76,2300000,52000
A. Cresswell,29,175.26,66.2,LB,England,76,76,6000000,63000
V. Koziello,23,167.64,58.1,"CM,CDM",France,76,82,10500000,19000
Nelsildo Reis,31,190.5,88,GK,Brazil,76,76,4900000,17000
O. Romero,26,175.26,73.9,"RM,CAM,LM",Paraguay,76,77,9000000,16000
Fred AnÃ­bÃ£o,27,193.04,89.8,GK,Brazil,76,76,5500000,12000
Aritz Elustondo,24,154.94,71.2,"CB,RB",Spain,76,80,8500000,21000
C. Biraghi,26,185.42,78,"LB,LM",Italy,76,78,7500000,42000
N. Viergever,29,182.88,77.1,"CB,LB",Netherlands,76,77,7000000,15000
G. Cabral,33,182.88,81.2,CB,Argentina,76,76,4400000,21000
Rafinha,33,172.72,68,"RB,LB",Brazil,76,76,4300000,53000
A. Ndiaye Diedhiou,22,172.72,63,LM,Senegal,76,85,12000000,17000
F. Roncaglia,32,152.4,76.2,"CB,RB,LB",Argentina,76,76,5000000,21000
P. Aguilar,31,154.94,79.8,CB,Paraguay,76,76,5000000,23000
W. Reid,30,190.5,87.1,CB,New Zealand,76,76,6000000,63000
RubÃ©n Blanco,23,187.96,69.9,GK,Spain,76,83,8000000,14000
S. Kverkvelia,27,195.58,87.1,CB,Georgia,76,79,8000000,1000
R. Brady,27,152.4,77.1,"LM,LB",Republic of Ireland,76,76,8500000,48000
W. Vainqueur,30,152.4,73,CDM,France,76,76,6000000,18000
O. Toivonen,32,193.04,78,"ST,CAM,CF",Sweden,76,76,7000000,12000
F. Bustos,22,167.64,66.2,"RB,LB",Argentina,76,83,9000000,16000
T. Baumgartl,23,190.5,88.9,"CB,RB",Germany,76,81,8500000,25000
L. Unnerstall,28,198.12,103,GK,Germany,76,78,6000000,12000
A. Ranocchia,31,195.58,81.2,CB,Italy,76,76,5500000,47000
C. Salcedo,25,187.96,77.1,CB,Mexico,76,80,8500000,38000
F. Guilbert,24,152.4,69.9,"RB,RM,RWB",France,76,82,9000000,16000
V. Eysseric,26,154.94,73,"LW,RW",France,76,77,9000000,53000
B. Embolo,22,185.42,86.2,"ST,RW",Switzerland,76,85,12000000,24000
Y. Sabaly,26,172.72,67.1,"RB,LB",Senegal,76,79,8000000,33000
A. Thomasson,25,152.4,72.1,"CAM,CM,CF",France,76,78,9500000,17000
Y. Karamoh,20,185.42,77.1,"RM,RW",France,76,85,11500000,25000
M. Maignan,23,190.5,88.9,GK,France,76,84,8500000,18000
Vieirinha,33,172.72,69.9,"LB,RM",Portugal,76,76,4300000,1000
B. Santamaria,24,182.88,73,"CDM,CM",France,76,81,8500000,18000
D. Quintero,31,165.1,66.2,"CF,ST,CAM",Colombia,76,76,7500000,10000
N. Castillo,26,152.4,81.2,ST,Chile,76,79,10000000,57000
J. Allen,28,167.64,62.1,"CM,CAM",Wales,76,76,7500000,44000
D. Zagadou,19,195.58,89.8,"CB,LB",France,76,85,10000000,17000
F. Tait,26,175.26,69.9,"LW,LM,CM",France,76,77,9000000,24000
T. Koubek,26,198.12,94.8,GK,Czech Republic,76,79,7000000,21000
E. Balanta,26,154.94,83.9,"CB,CDM",Colombia,76,80,8500000,23000
L. RodrÃ­guez,34,167.64,71.2,"ST,CAM,CF",Argentina,76,76,4800000,16000
S. Bamba,34,190.5,86.2,CB,Ivory Coast,76,76,3100000,40000
K. PiÄ…tek,23,182.88,77.1,ST,Poland,76,82,10500000,67000
A. Petagna,23,190.5,84.8,ST,Italy,76,81,10500000,25000
Koo Ja Cheol,30,182.88,78.9,"CAM,CM,RM",Korea Republic,76,76,7500000,25000
D. Dumfries,22,187.96,79.8,RB,Netherlands,76,81,8500000,13000
C. Gentner,33,187.96,81.2,"CM,CDM,CAM,RM",Germany,76,76,6000000,32000
E. Valencia,29,152.4,76.2,"ST,RW",Ecuador,76,76,8000000,55000
Iturraspe,30,187.96,78,"CM,CDM",Spain,76,76,7500000,23000
S. Bocchetti,32,185.42,86.2,CB,Italy,76,76,5000000,1000
D. Brosinski,30,152.4,69.9,"RB,LB,RWB",Germany,76,76,6000000,25000
S. Blanco,30,167.64,64,"LM,CAM,CF,RM",Argentina,76,76,7500000,9000
IvÃ¡n Alejo,24,182.88,76.2,"RM,LM",Spain,76,80,10000000,20000
Eric Botteghin,31,190.5,88.9,CB,Brazil,76,76,5500000,13000
I. KonatÃ©,19,193.04,93,CB,France,76,84,9500000,17000
A. Paschalakis,29,198.12,92.1,GK,Greece,76,77,6000000,1000
Y. MutÅ,26,152.4,72.1,"ST,CF",Japan,76,79,10000000,46000
H. Badstuber,29,190.5,83.9,"CB,CDM",Germany,76,76,6000000,31000
L. Acosta,30,170.18,67.1,"LW,RW,ST",Argentina,76,76,7500000,21000
J. Palomino,29,187.96,87.1,CB,Argentina,76,76,6000000,25000
S. Zuber,27,182.88,78.9,"LWB,LM,LB,CM",Switzerland,76,77,7500000,29000
Emilio PiodÃ£o,27,152.4,78,"CDM,CM",Brazil,76,76,6500000,13000
L. Zuffi,28,154.94,69.9,"CDM,CM,CAM",Switzerland,76,77,7000000,25000
R. Steffen,27,170.18,64.9,"RW,LM,RM",Switzerland,76,76,8500000,43000
H. Nordtveit,28,187.96,83,"CB,CDM,RB",Norway,76,77,7000000,31000
F. Klaus,26,154.94,78.9,"RM,LM,LW",Germany,76,77,9000000,38000
S. TaÃ¯der,27,154.94,78,"CM,CDM",Algeria,76,78,9000000,30000
RÃºben Vezo,24,182.88,79.8,"CB,RB",Portugal,76,81,8500000,24000
DÃªnildo Stein,31,154.94,71.2,"ST,CF",Brazil,76,76,7500000,30000
Joelinton,22,185.42,82.1,"ST,CAM",Brazil,76,83,11000000,26000
A. Samaris,29,187.96,83.9,"CDM,CM",Greece,76,76,6000000,12000
D. Gayle,28,175.26,78,"ST,LW",England,76,76,8000000,48000
Beto,36,182.88,81.2,GK,Portugal,76,76,1000000,12000
D. Chygrynskyi,32,187.96,84.8,CB,Ukraine,76,76,5000000,1000
C. Erkin,30,154.94,72.1,"LB,LM",Turkey,76,76,6000000,41000
I. Slimani,30,187.96,83,ST,Algeria,76,76,7500000,62000
C. Vargas,29,185.42,79.8,GK,Colombia,76,77,6000000,3000
S. Proto,35,182.88,73.9,GK,Belgium,76,76,1800000,20000
E. Palacios,20,152.4,66.2,"CM,RM,CAM",Argentina,76,86,12000000,11000
A. Westwood,28,175.26,73,CM,England,76,76,7500000,51000
P. Mantalos,27,175.26,73,"CAM,CM,RM",Greece,76,77,9000000,1000
B. DzsudzsÃ¡k,32,152.4,72.1,"LM,RM",Hungary,76,76,,
K. Laimer,21,154.94,72.1,"CM,RB",Austria,76,83,11000000,32000
L. Sigali,31,154.94,72.1,CB,Argentina,76,76,5000000,19000
I. Opara,30,187.96,82.1,CB,United States,76,76,6000000,9000
S. Widmer,26,182.88,78.9,"RB,RM",Switzerland,76,78,7500000,23000
J. Cuadrado,33,154.94,79.8,GK,Colombia,76,76,3900000,5000
Yoel,30,185.42,78,GK,Spain,76,76,5000000,18000
A. Meret,21,190.5,83,GK,Italy,76,89,12000000,25000
A. Gray,27,154.94,78,ST,England,76,77,9000000,53000
A. Diaby,27,172.72,71.2,"RW,ST",Mali,76,76,8000000,15000
C. Clark,29,185.42,88,CB,Republic of Ireland,76,77,7000000,42000
C. Borges,30,187.96,78,"CDM,CM",Costa Rica,76,76,5500000,23000
K. Dolberg,21,187.96,83,ST,Denmark,76,85,12000000,15000
P. van Aanholt,28,175.26,67.1,LB,Netherlands,76,76,6500000,44000
J. Locadia,25,185.42,87.1,"ST,LW",Netherlands,76,79,10000000,42000
Gil,31,193.04,87.1,CB,Brazil,76,76,5000000,18000
Y. ÅŒsako,28,182.88,71.2,"CF,ST,CAM",Japan,76,76,8000000,30000
RubÃ©n Duarte,23,154.94,74.8,LB,Spain,76,81,8500000,18000
M. de Roon,27,185.42,76.2,"CM,CDM",Netherlands,76,76,8000000,26000
S. Tshabalala,34,170.18,64.9,"LM,RM,CAM,LW",South Africa,76,76,4700000,16000
AndrÃ© SimÃµes,29,152.4,73.9,"CDM,CM",Portugal,76,76,6000000,1000
R. Pizarro,25,175.26,71.2,"CAM,LM,CM",Mexico,76,80,10000000,37000
N. Chalobah,24,185.42,76.2,"CDM,CM",England,76,81,8500000,38000
M. Darmian,29,182.88,69.9,"LB,RB",Italy,76,76,6000000,88000
B. Ndiaye,28,154.94,76.2,"CM,CDM,CAM",Senegal,76,76,8000000,42000
AndrÃ© Pinto,29,193.04,86.2,CB,Portugal,76,76,6000000,13000
Soldado,33,154.94,73.9,ST,Spain,76,76,4800000,61000
Naldo,30,187.96,79.8,CB,Brazil,76,76,6000000,25000
G. FernÃ¡ndez,27,152.4,74.8,"CAM,LM",Argentina,76,77,9000000,21000
Carles Planas,28,172.72,76.2,"LB,LWB",Spain,76,77,7000000,26000
Diego MariÃ±o,28,187.96,77.1,GK,Spain,76,77,6000000,9000
E. Mangala,28,187.96,83.9,CB,France,76,78,7500000,84000
C. HÃ©relle,26,187.96,74.8,CB,France,76,79,8000000,26000
J. Rodriguez,29,185.42,83.9,ST,England,76,76,8000000,38000
L. MagallÃ¡n,25,185.42,83,CB,Argentina,76,81,8500000,14000
E. Vargas,29,175.26,81.2,"ST,CAM",Chile,76,76,8000000,55000
Y. Salibur,28,152.4,76.2,RM,France,76,76,8000000,23000
H. Onyekuru,21,175.26,59,"LM,ST",Nigeria,76,86,12500000,56000
J. Bamba,22,175.26,72.1,"LM,ST,RM",France,76,85,12000000,26000
Ki Sung Yueng,30,187.96,74.8,"CM,CDM",Korea Republic,76,76,7500000,46000
JosuÃ©,28,175.26,74.8,"CAM,RM",Portugal,76,76,8000000,19000
G. TÃ¶re,27,175.26,69.9,"RM,LM",Turkey,76,76,8500000,43000
T. RogiÄ‡,26,187.96,88,"CAM,CM",Australia,76,79,9500000,46000
Claudemir,30,185.42,72.1,"CM,CDM",Brazil,76,76,7000000,15000
O. El Kaddouri,28,185.42,82.1,"CAM,CM",Morocco,76,76,8000000,1000
F. Di Francesco,24,170.18,74.8,"LW,RW",Italy,76,79,10000000,44000
L. Rupp,28,152.4,73,"CM,RM",Germany,76,76,8000000,32000
N. NÃ¡ndez,23,172.72,72.1,"CM,CDM,RM",Uruguay,76,85,11500000,20000
David Seijalbo,35,175.26,76.2,CDM,Brazil,76,76,2300000,25000
Alexo Baia,31,175.26,71.2,"RB,RW",Brazil,76,76,5500000,25000
L. Teodorczyk,27,187.96,86.2,ST,Poland,76,77,9000000,28000
A. Carroll,30,193.04,78.9,ST,England,76,76,7500000,75000
Lucas Lima,27,152.4,76.2,"LB,LM",Brazil,76,77,7500000,23000
G. Moreno,32,193.04,83,"CAM,CM,ST",Colombia,76,76,6000000,16000
Embarba,26,172.72,66.2,"RM,ST,LM",Spain,76,77,9000000,20000
Vicente GÃ³mez,30,187.96,78,"CM,CDM,CAM",Spain,76,76,7500000,12000
V. Berisha,26,175.26,69.9,"LM,CM,CAM",Kosovo,76,77,9000000,40000
JÃºnior Moraes,31,175.26,69.9,ST,Brazil,76,76,7000000,1000
Ayoze PÃ©rez,25,152.4,72.1,"CF,CAM",Spain,76,81,10500000,42000
R. Marin,22,175.26,69.9,"CM,CDM",Romania,76,82,10500000,15000
K. Malcuit,27,152.4,77.1,"RB,RM",France,76,77,7500000,47000
F. Bartels,32,175.26,68.9,"RM,CF,LM",Germany,76,76,7000000,27000
Dani Olmo,20,152.4,72.1,"CAM,LM,CM",Spain,76,85,12000000,1000
O. Duarte,29,185.42,81.2,"CB,CDM",Costa Rica,76,76,6000000,25000
G. Conti,24,193.04,79.8,CB,Argentina,76,82,9000000,10000
HÃ©ldon,30,175.26,66.2,"LM,RM",Cape Verde,76,76,7500000,23000
D. Boyko,31,193.04,82.1,GK,Ukraine,76,76,4900000,1000
D. D'Ambrosio,30,154.94,74.8,"RB,LB",Italy,76,76,6000000,50000
J. Jankto,23,154.94,73.9,"CM,LM",Czech Republic,76,85,11500000,23000
P. Bargfrede,30,175.26,71.2,CDM,Germany,76,76,6000000,25000
M. Casco,30,170.18,68.9,"LB,RB",Argentina,76,76,5500000,21000
M. Uribe,27,182.88,71.2,"CM,CDM,RM",Colombia,76,77,8500000,54000
M. Livaja,25,182.88,83.9,"ST,CAM",Croatia,76,80,10000000,1000
JoÃ£o Novais,25,182.88,77.1,"CM,CAM,RM,LM",Portugal,76,79,9500000,13000
M. Lopez,21,167.64,58.1,"CM,CDM",France,76,82,10500000,30000
T. Cleverley,29,175.26,67.1,"CM,CAM",England,76,76,7500000,51000
I. Popov,31,182.88,77.1,"CAM,ST",Bulgaria,76,76,,
A. HaliloviÄ‡,22,170.18,68.9,"RM,CAM",Croatia,76,83,11000000,61000
Dalbert,25,154.94,69.9,LB,Brazil,76,80,8500000,41000
Borja Mayoral,21,182.88,73.9,ST,Spain,76,84,11500000,90000
Gomes,38,190.5,94.8,GK,Brazil,76,76,525000,23000
Alan Kardec,30,185.42,79.8,"ST,RW,LW",Brazil,76,76,7500000,13000
A. Barnes,29,185.42,83.9,ST,Austria,76,76,8000000,55000
E. Andrada,28,193.04,81.2,GK,Argentina,76,79,6500000,17000
A. Nagy,23,152.4,73.9,CDM,Hungary,76,83,9500000,24000
B. DoÄkal,30,182.88,72.1,"CAM,CM",Czech Republic,76,76,7500000,1000
S. Rode,28,152.4,74.8,"CDM,CM",Germany,76,77,7500000,40000
R. Knoche,26,190.5,77.1,CB,Germany,76,79,8000000,36000
F. Acheampong,25,165.1,59.9,ST,Ghana,76,81,10500000,16000
Y. Gerhardt,24,182.88,81.2,"CM,LB,LM",Germany,76,82,10500000,35000
M. Esser,31,198.12,97.1,GK,Germany,76,76,4900000,24000
D. Ings,26,152.4,73,ST,England,76,78,9500000,85000
J. Izquierdo,26,170.18,74.8,LM,Colombia,76,77,9000000,42000
